title,price,location,year,mileage,engine,link,posted_date,featured,scraped_at,price_numeric,year_numeric,mileage_numeric
Toyota Passo  2015 X V Package for Sale,PKR 26.4lacs,2015,2015,"87,000 km",1000 cc,https://www.pakwheels.com/used-cars/toyota-passo-2015-for-sale-in-karachi-10829357,N/A,Yes,2025-11-21 17:03:34,,2015,87000
Toyota Tacoma  2018  for Sale,PKR 2.1crore,2018,2018,"30,000 km",3500 cc,https://www.pakwheels.com/used-cars/toyota-tacoma-2018-for-sale-in-karachi-10853177,N/A,No,2025-11-21 17:03:34,,2018,30000
Mazda Scrum Wagon  2020  for Sale,PKR 30lacs,2020,2020,"114,000 km",660 cc,https://www.pakwheels.com/used-cars/mazda-scrum-wagon-2020-for-sale-in-karachi-10838653,N/A,Yes,2025-11-21 17:03:50,,2020,114000
Toyota Yaris Sedan  2022 ATIV CVT 1.3 for Sale8.5/10,PKR 43.5lacs,2022,2022,"50,653 km",1300 cc,https://www.pakwheels.com/used-cars/toyota-yaris-sedan-2022-for-sale-in-karachi-10853161,N/A,Yes,2025-11-21 17:03:50,,2022,50653
Peugeot 2008  2025 Allure for Sale,PKR 71lacs,2025,2025,"1,150 km",1200 cc,https://www.pakwheels.com/used-cars/peugeot-2008-2025-for-sale-in-karachi-10721559,N/A,Yes,2025-11-21 17:03:50,,2025,1150
Suzuki Wagon R  2017 VXL for Sale,PKR 21.85lacs,2017,2017,"180,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2017-for-sale-in-karachi-10853118,N/A,Yes,2025-11-21 17:03:50,,2017,180000
Nissan Leaf  2021 EV for Sale10/10,PKR 67lacs,2021,2021,"15,219 km",N/A,https://www.pakwheels.com/used-cars/nissan-leaf-2021-for-sale-in-karachi-10786005,N/A,Yes,2025-11-21 17:03:50,,2021,15219
Honda City 5th (GM2) Generation 2016 1.3 i-VTEC Prosmatec for Sale8.2/10,PKR 36.8lacs,2016,2016,"34,040 km",1300 cc,https://www.pakwheels.com/used-cars/honda-city-2016-for-sale-in-karachi-10706052,N/A,Yes,2025-11-21 17:03:50,,2016,34040
Toyota Hilux  2019 Revo V Automatic 2.8 for Sale,PKR 96.75lacs,2019,2019,"57,000 km",2800 cc,https://www.pakwheels.com/used-cars/toyota-hilux-2019-for-sale-in-karachi-10807037,N/A,Yes,2025-11-21 17:03:50,,2019,57000
Hyundai Santa Fe  2024 Signature for Sale9.7/10,PKR 1.55crore,2024,2024,"1,205 km",1600 cc,https://www.pakwheels.com/used-cars/hyundai-santa-fe-2024-for-sale-in-karachi-10790475,N/A,Yes,2025-11-21 17:03:50,,2024,1205
MG HS  2025 PHEV for Sale,PKR 95lacs,2025,2025,198 km,1500 cc,https://www.pakwheels.com/used-cars/mg-hs-2025-for-sale-in-karachi-10628072,N/A,Yes,2025-11-21 17:03:50,,2025,198
Honda City  2021 1.5 i-VTEC for Sale,PKR 70lacs,Karachi,2021,258 km,1500 cc,https://www.pakwheels.com/used-cars/honda-city-2021-for-sale-in-karachi-10853104,N/A,No,2025-11-21 17:03:50,,2021,258
Suzuki Cultus  2005 VXR for Sale,PKR 6.8lacs,2005,2005,"110,000 km",1000 cc,https://www.pakwheels.com/used-cars/suzuki-cultus-2005-for-sale-in-karachi-10853165,N/A,No,2025-11-21 17:03:50,,2005,110000
